collected_date,new_total_school_related_cases
2020-09-10,0
2020-09-11,2
2020-09-14,14
2020-09-15,12
2020-09-16,21
2020-09-17,11
2020-09-18,18
2020-09-21,51
2020-09-22,42
2020-09-23,31
2020-09-24,29
2020-09-25,36
2020-09-28,63
2020-09-29,52
2020-09-30,64
2020-10-01,36
2020-10-02,56
2020-10-05,74
2020-10-06,111
2020-10-07,100
2020-10-08,56
2020-10-09,72
2020-10-13,96
2020-10-14,109
2020-10-15,98
2020-10-16,74
2020-10-19,121
2020-10-20,144
2020-10-21,74
2020-10-22,72
2020-10-23,72
2020-10-26,144
2020-10-27,92
2020-10-28,99
2020-10-29,61
2020-10-30,69
2020-11-02,134
2020-11-03,116
2020-11-04,68
2020-11-05,85
2020-11-06,79
2020-11-09,159
2020-11-10,198
2020-11-11,103
2020-11-12,116
2020-11-13,106
2020-11-16,133
2020-11-17,109
2020-11-18,91
2020-11-19,87
2020-11-20,60
2020-11-23,270
2020-11-24,162
2020-11-25,88
2020-11-26,122
2020-11-27,102
2020-11-30,299
2020-12-01,166
2020-12-02,122
2020-12-03,129
2020-12-04,138
2020-12-07,333
2020-12-08,207
2020-12-09,139
2020-12-10,151
2020-12-11,137
2020-12-14,319
2020-12-15,223
2020-12-16,170
2020-12-17,133
2020-12-18,154
2021-01-11,7
2021-01-12,1
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-18,6
2021-01-19,1
2021-01-20,2
2021-01-21,0
2021-01-22,11
2021-01-25,12
2021-01-26,6
2021-01-27,2
2021-01-28,1
2021-01-29,7
2021-02-01,22
2021-02-02,15
2021-02-03,9
2021-02-04,2
2021-02-05,3
2021-02-08,47
2021-02-09,31
2021-02-10,29
2021-02-11,31
2021-02-12,23
2021-02-16,75
2021-02-17,97
2021-02-18,80
2021-02-19,55
2021-02-22,175
2021-02-23,112
2021-02-24,83
2021-02-25,101
2021-02-26,116
2021-03-01,262
2021-03-02,160
2021-03-03,101
2021-03-04,96
2021-03-05,95
2021-03-08,263
2021-03-09,194
2021-03-10,124
2021-03-11,137
2021-03-12,110
2021-03-15,367
2021-03-16,179
2021-03-17,119
2021-03-18,132
2021-03-19,140
2021-03-22,409
2021-03-23,257
2021-03-24,174
2021-03-25,167
2021-03-26,215
2021-03-29,518
